energy,std
27.57219771781683,0.023578041080469868
26.793059473939426,0.019989775432806483
26.173777701598627,0.01612913225424804
25.675549417721754,0.014111847039360404
25.284657854187014,0.010757199573074703
24.966590129178048,0.008773089282518043
24.739521247220523,0.006562402853155835
24.58536186554338,0.004656263459443748
24.47120993874454,0.0029408603910891246
24.41226622312261,0.0013650639108967906
24.398751853358743,0.00031696532540194643
24.424283517375958,0.0015635405572011856
24.485225039573688,0.0028797083540684732
24.570553131188376,0.004206300612239733
24.68638450325203,0.00516976710195577
24.824273877959726,0.006372880053334888
24.990051318984996,0.007287509275322984
25.18611797930481,0.008240063454268984
25.372673010925293,0.009579218836831997
25.60443923948097,0.010186920378224091
25.841351903965005,0.011378119376801705
